ID,Borough,Building,Street,Zipcode,Phone,Cuisine,Last Inspection Date,Inspection Score,GRADE,Latitude,Longitude,Inspection Count,Name,Price Range,Yelp Rating,Yelp Review Count,Neighborhood,latitude,longitude,Is Vegan?,Is Vegetarian?,Offers Delivery?,Offers Pickup?,Takes Reservations?
41322152,Manhattan,738,10 AVENUE,10019.0,(212) 315-0123,American,2019-12-20,12.0,A,40.764891878382,-73.991617611645,9,123 Burger Shot Beer,1.0,3.0,1000,Hell\s Kitchen,40.764828,-73.9914,False,False,True,True,False
41430594,Manhattan,1708,AMSTERDAM AVENUE,10031.0,(212) 491-7466,Bakery,2019-03-27,10.0,A,40.824869602416,-73.947878825434,20,One Stop Patty Shop,1.0,4.0,40,Harlem,40.82498,-73.94802,False,False,False,False,False
50059935,Manhattan,2794,BROADWAY,10025.0,(917) 675-6878,Chinese,2019-05-23,7.0,A,40.802765207183,-73.967636046671,8,108 Food Dried Hot Pot,2.0,3.5,139,East Harlem,40.80271,-73.96738,False,False,True,True,False
41092609,Manhattan,156,10 AVENUE,10011.0,(212) 924-4440,American,2019-04-11,8.0,A,40.745645791525995,-74.005637163453,25,Cookshop,2.0,4.0,1000,Midtown West,40.7454251,-74.0056084,False,False,True,True,False
50057272,Manhattan,11,HANOVER SQ,10005.0,(212) 785-4000,Greek,2019-02-28,12.0,A,40.705363423058,-74.008515537385,22,11 Hanover Greek,3.0,4.0,122,Tribeca,40.705264,-74.008854,False,False,True,True,False
50041601,Manhattan,1,EAST  118 STREET,10035.0,(212) 722-6888,Tex-Mex,2019-05-09,11.0,A,40.801870167292,-73.945260143617,13,118 Kitchen,1.0,4.0,42,East Harlem,40.80195,-73.94517,False,False,True,True,False
50088380,Manhattan,712,WEST  125 STREET,10027.0,(646) 850-0193,American,2019-09-03,6.0,A,40.81839164752,-73.960771133637,5,123BSB,2.0,3.0,43,East Harlem,40.818157,-73.960842,False,False,False,False,False
50067483,Manhattan,444,PARK AVENUE SOUTH,10016.0,(212) 804-8880,Mediterranean,2020-01-28,13.0,A,40.744697739719,-73.983081533353,9,Mondrian Terrace,2.0,4.0,39,Midtown East,40.7448378,-73.9833243,False,False,False,False,False
50096571,Manhattan,153,2 AVENUE,10003.0,(212) 260-4414,"Ice Cream, Gelato, Yogurt, Ices",2019-09-27,4.0,A,40.729456582958,-73.987054283108,2,16 Handles,1.0,4.0,664,Gramercy,40.7296684213703,-73.9872966706753,True,False,True,True,False
50002454,Manhattan,78,READE STREET,10007.0,(212) 267-3000,American,2020-02-13,21.0,Z,40.715219988793,-74.00707027995401,34,1803,2.0,4.5,396,Greenwich Village,40.715498,-74.007178,False,False,True,True,False
41334807,Manhattan,32,ST MARKS PLACE,10003.0,(212) 777-0600,Pizza,2019-05-09,12.0,A,40.728803451759,-73.988194546018,12,2 Bros Pizza,1.0,3.5,258,Garment District,40.75695,-73.9935,False,False,True,True,False
50010711,Manhattan,316,EAST   53 STREET,10022.0,(212) 858-0646,Steak,2019-11-25,12.0,A,40.756482854135,-73.966532447413,23,212 Steakhouse,3.0,4.0,671,Midtown East,40.75634,-73.966489,False,False,True,True,False
50072975,Manhattan,59,NASSAU STREET,10038.0,(212) 732-9250,Thai,2020-02-28,21.0,Z,40.709173144451,-74.008775726868,13,22 Thai Cuisine,1.0,2.5,181,Financial District,40.70925,-74.0088,False,False,True,True,False
50095160,Manhattan,2234,1 AVENUE,10029.0,(212) 426-4888,Chinese,2020-03-04,39.0,C,40.795170935263,-73.93599821680199,9,Great Wall,1.0,4.0,15,East Harlem,40.795074,-73.935684,False,False,False,False,False
50095004,Manhattan,251,EAST   35 STREET,10016.0,(212) 889-3333,Japanese,2019-10-07,13.0,A,40.745786188941004,-73.976198993563,3,251 Ginza Sushi,2.0,4.0,228,Midtown East,40.745938977155,-73.975854889858,False,False,True,True,False
50089270,Manhattan,27,MORTON STREET,10014.0,(212) 929-4339,Eastern European,2020-01-28,13.0,A,40.731021738647,-74.004571518949,14,27 Morton,2.0,4.5,72,Midtown West,40.73111,-74.00452,False,False,True,True,False
50039747,Manhattan,28,CANAL STREET,10002.0,(212) 978-1888,Chinese,2019-08-05,8.0,A,40.714459509526,-73.99046605311,6,Ming's Caffe,1.0,4.0,119,Chinatown,40.714321,-73.990509,False,False,False,False,False
41288201,Manhattan,162,EAST   33 STREET,10016.0,(212) 689-9000,Jewish/Kosher,2019-08-01,9.0,A,40.745438250058996,-73.979548203806,8,2nd Ave Deli,2.0,4.0,1000,Midtown East,40.74519,-73.97918,False,False,True,True,False
41588604,Manhattan,1442,1 AVENUE,10021.0,(212) 737-1700,Jewish/Kosher,2020-01-03,10.0,A,40.76964811783,-73.954637267305,6,2nd Ave Deli,2.0,3.5,339,Upper East Side,40.769568955816,-73.954492775627,False,False,True,True,False
50062581,Manhattan,124,LUDLOW STREET,10002.0,(646) 682-7578,American,2020-01-08,3.0,A,40.719718307529,-73.988524446734,17,375 Chicken 'n Fries,2.0,4.0,230,Chinatown,40.7197,-73.98844,False,False,True,True,False
41488338,Manhattan,13,ELDRIDGE STREET,10002.0,(212) 219-1318,Chinese,2019-12-11,10.0,A,40.714764402993005,-73.993716151446,7,388 Cafe & Deli,1.0,4.5,20,Little Italy,40.7144915694964,-73.9939091608195,False,False,False,False,False
40809948,Manhattan,622,10 AVENUE,10036.0,(212) 977-1170,American,2019-11-20,13.0,A,40.761156429787995,-73.994343469836,16,44 & X Hell's Kitchen,2.0,3.5,883,Midtown West,40.7611032,-73.9941787,False,False,False,False,False
50043509,Manhattan,1325,2 AVENUE,10021.0,(212) 249-0777,American,2019-11-12,12.0,A,40.767336087009,-73.959443917614,14,5 Napkin Burger,2.0,3.5,240,East Harlem,40.7674315,-73.9596625,False,False,True,True,False
41460077,Manhattan,2315,BROADWAY,10024.0,(212) 333-4488,Hamburgers,2019-05-13,12.0,A,40.786894717189,-73.97770816114101,18,5 Napkin Burger,2.0,3.5,816,East Harlem,40.787076092443,-73.977925,False,False,True,True,False
41628697,Manhattan,150,EAST   14 STREET,10003.0,(212) 228-5500,American,2019-05-07,7.0,A,40.733656184931995,-73.98808182603099,7,5 Napkin Burger Express,,4.0,3,Greenwich Village,40.733202,-73.987538,False,False,True,False,False
41628697,Manhattan,150,EAST   14 STREET,10003.0,(212) 228-5500,American,2019-05-07,7.0,A,40.733656184931995,-73.98808182603099,7,5 Napkin Burger,2.0,3.5,821,Greenwich Village,40.7332438,-73.9874588,False,False,True,True,False
50014906,Manhattan,2039,1 AVENUE,10029.0,(212) 987-1540,Pizza,2019-04-01,11.0,A,40.789041582944996,-73.940500202416,13,5 Star Cheese Steak and Pizza,1.0,2.5,23,Morningside Heights,40.78931,-73.94071,False,False,True,True,False
50100251,Manhattan,2039,1 AVENUE,10029.0,(212) 987-1540,Pizza,2020-02-03,13.0,A,40.789041582944996,-73.940500202416,9,5 Star Cheese Steak and Pizza,1.0,2.5,23,Morningside Heights,40.78931,-73.94071,False,False,True,True,False
50095733,Manhattan,610,LEXINGTON AVENUE,10022.0,(212) 451-9211,Other,2020-01-15,11.0,A,40.758177623079,-73.971144688622,3,Le Jardinier,,4.0,43,Midtown East,40.7582033,-73.9713074,False,False,False,False,False
41219092,Manhattan,7,EAST   36 STREET,10016.0,(212) 725-2353,Irish,2019-07-03,10.0,A,40.749506564548,-73.983098353126,31,5th & Mad,2.0,3.5,227,Garment District,40.74962,-73.98315,False,False,True,True,False
50088377,Manhattan,77,PEARL STREET,10004.0,(212) 825-0354,Hamburgers,2019-08-08,12.0,A,40.703946975231,-74.010297052389,9,77 Burger,,4.5,3,Financial District,40.7039601005882,-74.0104199945927,False,False,True,True,False
50072002,Manhattan,82,STANTON STREET,10002.0,(212) 473-2010,American,2019-11-14,13.0,A,40.721551840317,-73.988809132558,10,82 Stanton,2.0,4.5,15,Chinatown,40.721701,-73.988817,False,False,True,True,False
41650149,Manhattan,345,EAST   83 STREET,10028.0,(212) 737-8312,Italian,2019-05-21,10.0,A,40.775463208878,-73.952062570474,10,83 1/2,3.0,4.0,172,East Harlem,40.775354,-73.951216,False,False,True,True,False
50084800,Manhattan,473,LENOX AVENUE,10037.0,(212) 281-1288,Chinese,2020-01-23,26.0,Z,40.813113586643,-73.941591283509,7,88 Chinese Restaurant,1.0,3.0,17,Harlem,40.8133599154897,-73.9418023908753,False,False,False,False,False
50097360,Manhattan,220,EAST   42 STREET,10017.0,(917) 261-6970,Asian,2020-02-24,28.0,N,40.750248522834,-73.973255903313,3,8SIA,,3.5,16,Midtown East,40.749954,-73.973036,False,False,True,True,False
41273802,Manhattan,28,WEST    8 STREET,10011.0,(212) 260-9463,American,2020-01-17,20.0,Z,40.732715322026,-73.99747784271999,19,8th Street Winecellar,2.0,4.0,357,Greenwich Village,40.7327981,-73.9978351,False,False,False,False,False
50063422,Manhattan,37,SAINT MARKS PLACE,10003.0,(212) 256-0480,Chinese,2019-04-09,11.0,A,40.728740301931,-73.98799972414601,18,99 Favor Taste,2.0,4.0,676,Greenwich Village,40.728833,-73.988094,False,False,True,True,False
41533306,Manhattan,301,WEST   43 STREET,10036.0,(212) 315-5257,Pizza,2020-01-02,11.0,A,40.758087468626,-73.98971981313001,19,99 Cent Express Pizza,1.0,3.5,90,Garment District,40.7580986,-73.9893951,False,False,True,True,False
50100144,Manhattan,143,WEST   40 STREET,10018.0,(212) 366-5550,Pizza,2020-02-10,12.0,A,40.754420205830996,-73.987103554156,3,99 Cent Fresh Pizza,1.0,3.5,168,Garment District,40.754799,-73.987272,False,False,True,True,False
50049539,Manhattan,143,WEST   40 STREET,10018.0,(212) 366-5550,Pizza,2019-06-13,6.0,A,40.754420205830996,-73.987103554156,9,99 Cent Fresh Pizza,1.0,3.5,168,Garment District,40.754799,-73.987272,False,False,True,True,False
50078193,Manhattan,383,CANAL STREET,10013.0,(212) 966-1110,Pizza,2019-10-28,10.0,A,40.721426029021,-74.00474041648,10,99 Cent Fresh Pizza,,4.5,16,SoHo,40.7216890942271,-74.0046280995011,False,False,True,True,False
50099879,Manhattan,360,WEST   42 STREET,10036.0,(212) 268-1461,Pizza,2020-01-21,26.0,B,40.757911945378,-73.991441622691,8,99 Cent Fresh Pizza,1.0,3.5,173,Garment District,40.7580832,-73.9923878,False,False,True,True,False
50086277,Manhattan,71,2 AVENUE,10003.0,(212) 967-3310,Pizza,2019-03-20,10.0,A,40.726325039467,-73.989331471843,1,99 Cent Fresh Pizza,1.0,4.0,43,Gramercy,40.7264595,-73.9895782,False,False,True,True,False
50069442,Manhattan,689,9 AVENUE,10036.0,(212) 245-0800,Asian,2020-01-29,9.0,A,40.761864293045,-73.990137967261,39,A A Jing,2.0,3.5,291,Midtown West,40.762,-73.99041,False,False,True,True,False
41204031,Manhattan,1417,2 AVENUE,10021.0,(212) 744-2424,Turkish,2019-11-18,8.0,A,40.769973101492,-73.95751803521699,16,A La Turka,2.0,3.5,369,East Harlem,40.77013,-73.95774,False,False,True,True,False
40783353,Manhattan,112,GREENWICH AVENUE,10011.0,(212) 691-2713,Seafood,2020-01-22,8.0,A,40.738473843406,-74.002226475044,4,A Salt & Battery,2.0,3.5,794,Greenwich Village,40.7383669895876,-74.002024580178,False,False,True,True,False
50067439,Manhattan,1980,3 AVENUE,10029.0,(212) 427-3663,American,2019-04-18,10.0,A,40.793338579243,-73.94338918724,19,A Taste of Seafood,2.0,3.5,52,East Harlem,40.79346,-73.94362,False,False,True,True,False
50033885,Manhattan,431,7 AVENUE,10001.0,(212) 563-6200,American,2019-05-10,7.0,A,40.750709646684,-73.990810938952,32,A & H Food Plaza,1.0,4.0,47,Garment District,40.7505188,-73.9905396,False,False,True,True,False
40622601,Manhattan,505,GRAND STREET,10002.0,(212) 533-0214,Pizza,2020-03-09,11.0,A,40.714639696184,-73.982310025479,32,A-1 Pizza Shop,1.0,4.0,28,Lower East Side,40.71457,-73.98236,False,False,False,False,False
50078907,Manhattan,1817,2 AVENUE,10128.0,(212) 828-8996,Chinese,2020-03-11,-1.0,Z,40.783034208126004,-73.947980308606,21,A-jiao,2.0,3.5,129,East Harlem,40.783159,-73.948244,False,False,True,True,False
50056830,Manhattan,337,3 AVENUE,10010.0,(646) 682-9405,American,2020-03-03,64.0,Z,40.739962907183,-73.98230688472499,24,AWOL Bar & Grill,2.0,3.5,52,Gramercy,40.7399763,-73.9820936,False,False,True,True,False
50049997,Manhattan,10,MURRAY STREET,10007.0,(646) 649-3374,Indian,2019-10-29,13.0,A,40.713290370843,-74.00777347475099,32,Aahar Indian Cuisine,2.0,4.5,319,Chinatown,40.71334,-74.0081,False,False,True,True,False
